Designator,Mid X,Mid Y,Rotation,Layer
A1,346.4,-49.0525,0.0,top
D1,47.6,-37.29,90.0,top
D10,219.05,-37.29,90.0,top
D11,238.1,-37.29,90.0,top
D12,257.15,-37.29,90.0,top
D13,276.2,-37.29,90.0,top
D14,312.6,-34.2,90.0,top
D15,52.3625,-56.34,90.0,top
D16,76.175,-56.34,90.0,top
D17,95.225,-56.34,90.0,top
D18,114.275,-56.34,90.0,top
D19,133.325,-56.34,90.0,top
D2,66.65,-37.29,90.0,top
D20,152.375,-56.34,90.0,top
D21,171.425,-56.34,90.0,top
D22,190.475,-56.34,90.0,top
D23,209.525,-56.34,90.0,top
D24,228.575,-56.34,90.0,top
D25,247.625,-56.34,90.0,top
D26,266.675,-56.34,90.0,top
D27,285.725,-56.34,90.0,top
D28,309.5375,-56.34,90.0,top
D29,54.74375,-75.39,90.0,top
D3,85.7,-37.29,90.0,top
D30,80.9375,-75.39,90.0,top
D31,99.9875,-75.39,90.0,top
D32,119.0375,-75.39,90.0,top
D33,138.0875,-75.39,90.0,top
D34,157.1375,-75.39,90.0,top
D35,176.1875,-75.39,90.0,top
D36,195.2375,-75.39,90.0,top
D37,214.2875,-75.39,90.0,top
D38,233.3375,-75.39,90.0,top
D39,252.3875,-75.39,90.0,top
D4,104.75,-37.29,90.0,top
D40,271.4375,-75.39,90.0,top
D41,312.0,-72.6,90.0,top
D42,69.2,-91.61,90.0,top
D43,90.4625,-94.44,90.0,top
D44,109.5125,-94.44,90.0,top
D45,128.5625,-94.44,90.0,top
D46,147.6125,-94.44,90.0,top
D47,166.6625,-94.44,90.0,top
D48,185.7125,-94.44,90.0,top
D49,204.7625,-94.44,90.0,top
D5,123.8,-37.29,90.0,top
D50,223.8125,-94.44,90.0,top
D51,242.8625,-94.44,90.0,top
D52,261.9125,-94.44,90.0,top
D53,309.8,-96.6,90.0,top
D54,49.98125,-113.49,90.0,top
D55,73.79375,-113.49,90.0,top
D56,97.60625,-113.49,90.0,top
D57,169.04375,-113.49,90.0,top
D58,240.48125,-113.49,90.0,top
D59,264.29375,-113.49,90.0,top
D6,142.85,-37.29,90.0,top
D60,288.10625,-113.49,90.0,top
D61,311.91875,-113.49,90.0,top
D62,143.6,-112.8,0.0,top
D63,126.0,-117.4,0.0,top
D64,195.8,-118.8,0.0,top
D65,125.8,-109.8,0.0,top
D66,364.0,-117.6,0.0,top
D67,196.0,-112.0,0.0,top
D68,354.05,-117.275,0.0,top
D69,180.45,-113.875,0.0,top
D7,161.9,-37.29,90.0,top
D8,180.95,-37.29,90.0,top
D9,200.0,-37.29,90.0,top
S1,38.1,-35.935,0.0,top
S10,209.55,-35.935,0.0,top
S11,228.6,-35.935,0.0,top
S12,247.65,-35.935,0.0,top
S13,266.7,-35.935,0.0,top
S14,295.275,-35.935,0.0,top
S15,42.8625,-54.985,0.0,top
S16,66.675,-54.985,0.0,top
S17,85.725,-54.985,0.0,top
S18,104.775,-54.985,0.0,top
S19,123.825,-54.985,0.0,top
S2,57.15,-35.935,0.0,top
S20,142.875,-54.985,0.0,top
S21,161.925,-54.985,0.0,top
S22,180.975,-54.985,0.0,top
S23,200.025,-54.985,0.0,top
S24,219.075,-54.985,0.0,top
S25,238.125,-54.985,0.0,top
S26,257.175,-54.985,0.0,top
S27,276.225,-54.985,0.0,top
S28,300.0375,-54.985,0.0,top
S29,45.24375,-74.035,0.0,top
S3,76.2,-35.935,0.0,top
S30,71.4375,-74.035,0.0,top
S31,90.4875,-74.035,0.0,top
S32,109.5375,-74.035,0.0,top
S33,128.5875,-74.035,0.0,top
S34,147.6375,-74.035,0.0,top
S35,166.6875,-74.035,0.0,top
S36,185.7375,-74.035,0.0,top
S37,204.7875,-74.035,0.0,top
S38,223.8375,-74.035,0.0,top
S39,242.8875,-74.035,0.0,top
S4,95.25,-35.935,0.0,top
S40,261.9375,-74.035,0.0,top
S41,292.89375,-74.035,0.0,top
S42,50.00625,-93.085,0.0,top
S43,80.9625,-93.085,0.0,top
S44,100.0125,-93.085,0.0,top
S45,119.0625,-93.085,0.0,top
S46,138.1125,-93.085,0.0,top
S47,157.1625,-93.085,0.0,top
S48,176.2125,-93.085,0.0,top
S49,195.2625,-93.085,0.0,top
S5,114.3,-35.935,0.0,top
S50,214.3125,-93.085,0.0,top
S51,233.3625,-93.085,0.0,top
S52,252.4125,-93.085,0.0,top
S53,288.13125,-93.085,0.0,top
S54,40.48125,-112.135,0.0,top
S55,64.29375,-112.135,0.0,top
S56,88.10625,-112.135,0.0,top
S57,159.54375,-112.135,0.0,top
S58,230.98125,-112.135,0.0,top
S59,254.79375,-112.135,0.0,top
S6,133.35,-35.935,0.0,top
S60,278.60625,-112.135,0.0,top
S61,302.41875,-112.135,0.0,top
S7,152.4,-35.935,0.0,top
S8,171.45,-35.935,0.0,top
S9,190.5,-35.935,0.0,top
SW1,358.05,-106.1,0.0,top
